Pagador;CPF_CNPJ;Emissao;Vencimento;Nosso_Numero;Valor;Situacao
VILLA REAL RESIDENCE I;47.614.081/0001-83;14/10/2025;15/12/2025;00027131480000000078;475.00;Normal
VILLA REAL RESIDENCE I;47.614.081/0001-83;14/10/2025;12/01/2026;00027131480000000079;475.00;Normal
MATEUS SUPERMERCADOS E VAREJO SA;59.008.895/0024-40;28/10/2025;27/11/2025;00027131480000000141;164.00;Normal
EDIFICIO WAY;56.225.583/0001-03;29/10/2025;28/11/2025;00027131480000000156;189.80;Normal
MATEUS SUPERMERCADOS E VAREJO SA;59.008.895/0024-40;03/11/2025;03/12/2025;00027131480000000179;164.00;Normal
JOSELITA COMERCIO VAREJISTA DE ALIM...;04.804.897/0001-67;03/11/2025;03/12/2025;00027131480000000180;463.70;Normal
HOTEL ARPOAR JOAO PESSOA LTDA;49.949.279/0001-43;04/11/2025;04/12/2025;00027131480000000186;979.10;Normal
FARILA RESTAURANTE MASSAS E ALIMENT...;55.190.914/0001-54;06/11/2025;06/12/2025;00027131480000000192;479.87;Normal
FARILA RESTAURANTE MASSAS E ALIMENT...;55.190.914/0001-54;06/11/2025;05/01/2026;00027131480000000193;479.87;Normal
CONDOMINIO KILLIE DE LAMBRTI;09.135.785/0001-84;11/11/2025;11/12/2025;00027131480000000208;269.50;Normal
CONDOMINIO KILLIE DE LAMBRTI;09.135.785/0001-84;11/11/2025;12/01/2026;00027131480000000209;269.50;Normal
CONDOMINIO ALPHAVILLE JOAO PESSOA F...;11.400.317/0001-31;11/11/2025;11/12/2025;00027131480000000220;644.70;Normal
EDIFICIO URBANI SMART RESIDENCE;34.550.702/0001-60;12/11/2025;11/12/2025;00027131480000000221;940.50;Normal
EDIFICIO CASTELFIDARDO;20.118.995/0001-05;12/11/2025;12/12/2025;00027131480000000225;59.80;Normal
CONDOMINIO ALPHAVILLE JOAO PESSOA F...;11.400.317/0001-31;12/11/2025;12/12/2025;00027131480000000230;644.70;Normal
CONDOMINIO RESIDENCIAL BRISAS DO AT...;10.531.104/0001-86;13/11/2025;13/12/2025;00027131480000000248;571.15;Normal
CONDOMINIO RESIDENCIAL BRISAS DO AT...;10.531.104/0001-86;13/11/2025;12/01/2026;00027131480000000249;571.15;Normal
MMS SERVIÇOS DE INTERMEDIAÇAO DIGIT...;43.698.370/0001-57;14/11/2025;13/12/2025;00027131480000000252;1347.00;Normal
MMS SERVIÇOS DE INTERMEDIAÇAO DIGIT...;43.698.370/0001-57;14/11/2025;12/01/2026;00027131480000000253;1347.00;Normal
RR AGROPECUARIA E INVESTIMENTOS IMO...;08.433.602/0003-06;15/11/2025;15/12/2025;00027131480000000261;277.20;Normal
